movie_name,release_year,director,age_difference,actor_1_name,actor_1_gender,actor_1_birthdate,actor_1_age,actor_2_name,actor_2_gender,actor_2_birthdate,actor_2_age
Captain Blood,1935,Michael Curtiz,7,Errol Flynn,man,1909-06-20,26,Olivia de Havilland,woman,1916-07-01,19
Stella Dallas,1937,King Vidor,1,Tim Holt,man,1919-02-05,18,Anne Shirley,woman,1918-04-17,19
Gone with the Wind,1939,Victor Fleming,12,Clark Gable,man,1901-02-01,38,Vivien Leigh,woman,1913-11-05,26
His Girl Friday,1940,Howard Hawks,3,Cary Grant,man,1904-01-18,36,Rosalind Russell,woman,1907-06-04,33
Rebecca,1940,Alfred Hitchcock,10,Laurence Olivier,man,1907-05-22,33,Jane Fontaine,woman,1917-10-22,23
State of the Union,1948,Frank Capra,25,Spencer Tracy,man,1900-04-05,48,Angela Lansbury,woman,1925-10-16,23
State of the Union,1948,Frank Capra,7,Spencer Tracy,man,1900-04-05,48,Katharine Hepburn,woman,1907-05-12,41
Luci del varietà,1951,Federico Fellini,22,Peppino De Filippo,man,1903-08-24,48,Carla Del Poggio,woman,1925-12-02,26
An American in Paris,1951,Vincente Minnelli,19,Gene Kelly,man,1912-08-23,39,Leslie Caron,woman,1931-07-01,20
Singin' in the Rain,1952,"Stanley Donen, Gene Kelly",20,Gene Kelly,man,1912-08-23,40,Debbie Reynolds,woman,1932-04-01,20
Singin' in the Rain,1952,"Stanley Donen, Gene Kelly",11,Gene Kelly,man,1912-08-23,40,Jean Hagen,woman,1923-08-03,29
Lo Sceicco Bianco,1952,Federico Fellini,12,Alberto Sordi,man,1920-06-15,32,Brunella Bovo,woman,1932-03-04,20
From Here to Eternity,1953,Fred Zinnemann,8,Burt Lancaster,man,1913-11-02,40,Deborah Kerr,woman,1921-09-30,32
Roman Holiday,1953,William Wyler,13,Gregory Peck,man,1916-04-05,37,Audrey Hepburn,woman,1929-05-04,24
Rear Window,1954,Alfred Hitchcock,21,James Stewart,man,1908-05-20,46,Grace Kelly,woman,1929-11-12,25
A Star Is Born,1954,George Cukor,13,James Mason,man,1909-05-15,45,Judy Garland,woman,1922-06-10,32
Il Bidone,1954,Federico Fellini,7,Richard Basehart,man,1914-08-31,40,Giulietta Masina,woman,1921-02-22,33
La Strada,1954,Federico Fellini,6,Anthony Quinn,man,1915-04-21,39,Giulietta Masina,woman,1921-02-22,33
Sabrina,1954,Billy Wilder,11,William Holden,man,1918-04-17,36,Audrey Hepburn,woman,1929-05-04,25
High Society,1956,Charles Walters,26,Bing Crosby,man,1903-05-03,53,Grace Kelly,woman,1929-11-12,27
High Society,1956,Charles Walters,14,Frank Sinatra,man,1915-12-12,41,Grace Kelly,woman,1929-11-12,27
Love in the Afternoon,1957,undefined,28,Gary Cooper,man,1901-05-07,56,Audrey Hepburn,woman,1929-05-04,28
An Affair to Remember,1957,Leo McCarey,17,Cary Grant,man,1904-01-18,53,Deborah Kerr,woman,1921-09-30,36
Le notti di Cabiria,1957,Federico Fellini,2,François Périer,man,1919-11-10,38,Giulietta Masina,woman,1921-02-22,36
Teacher's Pet,1958,George Seaton,21,Clark Gable,man,1901-02-01,57,Doris Day,woman,1922-04-03,36
The Quiet American,1958,Joseph L. Mankiewicz,30,Michael Redgrave,man,1908-03-20,50,Giorgia Moll,woman,1938-01-14,20
Vertigo,1958,Alfred Hitchcock,25,James Stewart,man,1908-05-20,50,Kim Novak,woman,1933-02-13,25
Cat on a Hot Tin Roof,1958,Richard Brooks,7,Paul Newman,man,1925-01-26,33,Elizabeth Taylor,woman,1932-02-27,26
La Dolce Vita,1960,Federico Fellini,4,Marcello Mastroianni,man,1924-09-28,36,Yvonne Furneaux,woman,1928-05-11,32
L'Avventura,1960,Michelangelo Antonioni,6,Gabriele Ferzetti,man,1925-03-17,35,Monica Vitti,woman,1931-11-03,29
The Misfits,1961,John Huston,25,Clark Gable,man,1901-02-01,60,Marilyn Monroe,woman,1926-06-01,35
The Hustler,1961,Robert Rossen,7,Paul Newman,man,1925-01-26,36,Piper Laurie,woman,1932-01-22,29
Breakfast at Tiffany's,1961,Blake Edwards,1,George Peppard,man,1928-10-01,33,Audrey Hepburn,woman,1929-05-04,32
La ragazza con la valigia,1961,Valerio Zurlini,3,Jacques Perrin,man,1941-07-13,20,Claudia Cardinale,woman,1938-04-15,23
Dr. No,1962,Terence Young,6,Sean Connery,man,1930-08-25,32,Ursula Andress,woman,1936-03-19,26
Dr. No,1962,Terence Young,4,Sean Connery,man,1930-08-25,32,Zena Marshall,woman,1926-01-01,36
Dr. No,1962,Terence Young,1,Sean Connery,man,1930-08-25,32,Eunice Gayson,woman,1931-03-17,31
Charade,1963,Stanley Donen,25,Cary Grant,man,1904-01-18,59,Audrey Hepburn,woman,1929-05-04,34
8 1/2,1963,Federico Fellini,14,Marcello Mastroianni,man,1924-09-28,39,Claudia Cardinale,woman,1938-04-15,25
From Russia with Love,1963,Terence Young,14,Sean Connery,man,1930-08-25,33,Aliza Gur,woman,1944-04-01,19
From Russia with Love,1963,Terence Young,12,Sean Connery,man,1930-08-25,33,Daniela Bianchi,woman,1942-01-31,21
From Russia with Love,1963,Terence Young,11,Sean Connery,man,1930-08-25,33,Martine Beswick,woman,1941-09-26,22
Goldfinger,1964,Guy Hamilton,7,Sean Connery,man,1930-08-25,34,Shirley Eaton,woman,1937-01-12,27
Goldfinger,1964,Guy Hamilton,5,Sean Connery,man,1930-08-25,34,Honor Blackman,woman,1925-08-22,39
Prima della rivoluzione,1964,Michelangelo Antonioni,10,Francesco Barilli,man,1943-02-04,21,Adriana Asti,woman,1933-04-30,31
Thunderball,1965,Terence Young,19,Adolfo Celi,man,1922-07-27,43,Claudine Auger,woman,1941-04-26,24
La decima vittima,1965,Elio Petri,12,Marcello Mastroianni,man,1924-09-28,41,Ursula Andress,woman,1936-03-19,29
Sound of Music,1965,Robert Wise,6,Christopher Plummer,man,1929-12-13,36,Julie Andrews,woman,1935-10-01,30
Thunderball,1965,Terence Young,11,Sean Connery,man,1930-08-25,35,Claudine Auger,woman,1941-04-26,24
Thunderball,1965,Terence Young,7,Sean Connery,man,1930-08-25,35,Luciana Paluzzi,woman,1937-06-10,28
The Sand Pebbles,1966,Robert Wise,16,Steve McQueen,man,1930-03-24,36,Candice Bergen,woman,1946-05-09,20
Guess Who's Coming to Dinner,1967,John Huston,7,Spencer Tracy,man,1900-04-05,67,Katharine Hepburn,woman,1907-05-12,60
Guess Who's Coming to Dinner,1967,John Huston,18,Sidney Poitier,man,1927-02-20,40,Katharine Houghton,woman,1945-03-10,22
You Only Live Twice,1967,Lewis Gilbert,13,Sean Connery,man,1930-08-25,37,Mie Hama,woman,1943-11-20,24
You Only Live Twice,1967,Lewis Gilbert,11,Sean Connery,man,1930-08-25,37,Akiko Wakabayashi,woman,1941-08-26,26
You Only Live Twice,1967,Lewis Gilbert,8,Sean Connery,man,1930-08-25,37,Karin Dor,woman,1938-02-22,29
The Graduate,1967,Mike Nichols,6,Dustin Hoffman,man,1937-08-08,30,Anne Bancroft,woman,1931-09-17,36
The Graduate,1967,Mike Nichols,3,Dustin Hoffman,man,1937-08-08,30,Katharine Ross,woman,1940-01-29,27
