movie_name,release_year,director,age_difference,actor_1_name,actor_1_gender,actor_1_birthdate,actor_1_age,actor_2_name,actor_2_gender,actor_2_birthdate,actor_2_age
Meet the Parents,2000,Jay Roach,4,Ben Stiller,man,1965-11-30,35,Teri Polo,woman,1969-06-01,31
Little Nicky,2000,Steven Brill,2,Adam Sandler,man,1966-09-09,34,Patricia Arquette,woman,1968-04-08,32
X-Men,2000,Bryan Singer,4,Hugh Jackman,man,1968-10-12,32,Famke Janssen,woman,1964-11-05,36
The Whole Nine Yards,2000,Jonathan Lynn,5,Matthew Perry,man,1969-08-19,31,Natasha Henstridge,woman,1974-08-15,26
All the Pretty Horses,2000,Billy Bob Thornton,4,Matt Damon,man,1970-10-08,30,Penelope Cruz,woman,1974-04-28,26
Requiem for a Dream,2000,Darren Aronofsky,1,Jared Leto,man,1971-12-26,29,Jennifer Connelly,woman,1970-12-12,30
The Beach,2000,Danny Boyle,3,Guillaume Canet,man,1973-04-10,27,Virginie Ledoyen,woman,1976-11-15,24
Coyote Ugly,2000,David McNally,3,Adam Garcia,man,1973-06-01,27,Piper Perabo,woman,1976-10-31,24
Love & Basketball,2000,Gina Prince-Bythewood,2,Omar Epps,man,1973-07-20,27,Sanaa Lathan,woman,1971-09-19,29
X-Men,2000,Bryan Singer,9,James Marsden,man,1973-09-18,27,Famke Janssen,woman,1964-11-05,36
The Beach,2000,Danny Boyle,14,Leonardo DiCaprio,man,1974-11-11,26,Tilda Swinton,woman,1960-12-05,40
The Beach,2000,Danny Boyle,2,Leonardo DiCaprio,man,1974-11-11,26,Virginie Ledoyen,woman,1976-11-15,24
Remember the Titans,2000,Boaz Yakin,7,Ryan Hurst,man,1976-06-19,24,Kate Bosworth,woman,1983-01-02,17
"Crouching Tiger, Hidden Dragon",2000,Ang Lee,3,Chang Chen,man,1976-10-14,24,Zhang Ziyi,woman,1979-02-09,21
Here on Earth,2000,Mark Piznarski,5,Josh Hartnett,man,1978-07-21,22,Leelee Sobieski,woman,1983-06-10,17
Here on Earth,2000,Mark Piznarski,4,Chris Klein,man,1979-03-14,21,Leelee Sobieski,woman,1983-06-10,17
The Royal Tenenbaums,2001,Wes Anderson,21,Gene Hackman,man,1930-01-30,71,Anjelica Huston,woman,1951-07-08,50
15 Minutes,2001,John Herzfeld,24,Robert De Niro,man,1943-08-18,58,Melina Kanakaredes,woman,1967-04-23,34
The Royal Tenenbaums,2001,Wes Anderson,5,Danny Glover,man,1946-07-22,55,Anjelica Huston,woman,1951-07-08,50
The Royal Tenenbaums,2001,Wes Anderson,22,Bill Murray,man,1950-09-21,51,Gwyneth Paltrow,woman,1972-09-27,29
3000 Miles to Graceland,2001,Demian Lichtenstein,13,Kurt Russell,man,1951-03-17,50,Courteney Cox,woman,1964-06-15,37
Heartbreakers,2001,David Mirkin,5,Ray Liotta,man,1954-12-18,47,Sigourney Weaver,woman,1949-10-08,52
Training Day,2001,Antoine Fuqua,20,Denzel Washington,man,1954-12-28,47,Eva Mendes,woman,1974-03-05,27
The Man Who Wasn't There,2001,Joel Coen,29,Billy Bob Thornton,man,1955-08-04,46,Scarlett Johansson,woman,1984-11-22,17
Monster's Ball,2001,Marc Forster,11,Billy Bob Thornton,man,1955-08-04,46,Halle Berry,woman,1966-08-14,35
The Lord of the Rings,2001,Peter Jackson,19,Viggo Mortensen,man,1958-10-20,43,Liv Tyler,woman,1977-07-01,24
Bridget Jones's Diary,2001,Sharon Maguire,9,Hugh Grant,man,1960-09-09,41,Renee Zellweger,woman,1969-04-25,32
Bridget Jones's Diary,2001,Sharon Maguire,9,Colin Firth,man,1960-09-10,41,Renee Zellweger,woman,1969-04-25,32
Blow,2001,Ted Demme,11,Johnny Depp,man,1963-06-09,38,Penelope Cruz,woman,1974-04-28,27
A Beautiful Mind,2001,Ron Howard,6,Russell Crowe,man,1964-04-07,37,Jennifer Connelly,woman,1970-12-12,31
Sweet November,2001,Pat O'Connor,11,Keanu Reeves,man,1964-09-02,37,Charlize Theron,woman,1975-08-07,26
Hardball,2001,Brian Robbins,1,Keanu Reeves,man,1964-09-02,37,Diane Lane,woman,1965-01-21,36
Down to Earth,2001,"Paul Weitz, Chris Weitz",6,Chris Rock,man,1965-02-07,36,Regina King,woman,1971-01-15,30
Zoolander,2001,Ben Stiller,6,Ben Stiller,man,1965-11-30,36,Christine Taylor,woman,1971-07-30,30
Serendipity,2001,Peter Chelsom,7,John Cusack,man,1966-06-28,35,Kate Beckinsale,woman,1973-07-26,28
The Fast and the Furious,2001,Rob Cohen,11,Vin Diesel,man,1967-07-18,34,Michelle Rodriguez,woman,1978-07-12,23
Amelie,2001,Jean-Pierre Jeunet,9,Mathieu Kassovitz,man,1967-08-03,34,Audrey Tautou,woman,1976-08-09,25
Kate & Leopold,2001,James Mangold,7,Hugh Jackman,man,1968-10-12,33,Meg Ryan,woman,1961-11-19,40
Heartbreakers,2001,David Mirkin,9,Jason Lee,man,1970-04-25,31,Jennifer Love Hewitt,woman,1979-02-21,22
Save the Last Dance,2001,Thomas Carter,11,Sean Patrick Thomas,man,1970-12-17,31,Julia Stiles,woman,1981-03-28,20
Moulin Rouge!,2001,Baz Luhrmann,4,Ewan McGregor,man,1971-03-31,30,Nicole Kidman,woman,1967-06-20,34
Legally Blonde,2001,Robert Luketic,5,Luke Wilson,man,1971-09-21,30,Reese Witherspoon,woman,1976-03-21,25
Pearl Harbor,2001,Michael Bay,1,Ben Affleck,man,1972-08-15,29,Kate Beckinsale,woman,1973-07-26,28
Enemy at the Gates,2001,Jean-Jacques Annaud,2,Jude Law,man,1972-12-29,29,Rachel Weisz,woman,1970-03-07,31
The Fast and the Furious,2001,Rob Cohen,7,Paul Walker,man,1973-09-12,28,Jordana Brewster,woman,1980-04-26,21
Summer Catch,2001,Michael Tollin,6,Freddie Prinze Jr.,man,1976-03-08,25,Jessica Biel,woman,1982-03-03,19
Head over Heels,2001,Mark Waters,5,Freddie Prinze Jr.,man,1976-03-08,25,Monica Potter,woman,1971-06-30,30
Legally Blonde,2001,Robert Luketic,6,Matthew Davis,man,1978-05-08,23,Selma Blair,woman,1972-06-23,29
Legally Blonde,2001,Robert Luketic,2,Matthew Davis,man,1978-05-08,23,Reese Witherspoon,woman,1976-03-21,25
Pearl Harbor,2001,Michael Bay,5,Josh Hartnett,man,1978-07-21,23,Kate Beckinsale,woman,1973-07-26,28
A Knight's Tale,2001,Brian Helgeland,1,Heath Ledger,man,1979-04-24,22,Shannyn Sossamon,woman,1978-10-03,23
The Quiet American,2002,Phillip Noyce,49,Michael Caine,man,1933-03-14,69,Do Thi Hai Yen,woman,1982-10-01,20
Hollywood Ending,2002,Woody Allen,33,Woody Allen,man,1935-12-01,67,Debra Messing,woman,1968-08-15,34
Tadpole,2002,Gary Winick,1,John Ritter,man,1948-09-17,54,Sigourney Weaver,woman,1949-10-08,53
The Mothman Prophecies,2002,Mark Pellington,19,Richard Gere,man,1949-08-31,53,Debra Messing,woman,1968-08-15,34
Unfaithful,2002,Adrian Lyne,16,Richard Gere,man,1949-08-31,53,Diane Lane,woman,1965-01-21,37
Hollywood Ending,2002,Woody Allen,15,Treat Williams,man,1951-12-01,51,Tea Leoni,woman,1966-02-25,36
Spun,2002,Jonas Åkerlund,25,Mickey Rourke,man,1952-09-16,50,Brittany Murphy,woman,1977-11-10,25
Die Another Day,2002,Lee Tamahori,26,Pierce Brosnan,man,1953-05-16,49,Rosamund Pike,woman,1979-01-27,23
Die Another Day,2002,Lee Tamahori,13,Pierce Brosnan,man,1953-05-16,49,Halle Berry,woman,1966-08-14,36
John Q.,2002,Nick Cassavetes,13,Denzel Washington,man,1954-12-28,48,Kimberly Elise,woman,1967-04-17,35
We Were Soldiers,2002,Randall Wallace,2,Mel Gibson,man,1956-01-03,46,Madeleine Stowe,woman,1958-08-18,44
Secretary,2002,Steven Shainberg,17,James Spader,man,1960-02-07,42,Maggie Gyllenhaal,woman,1977-11-16,25
Two Weeks Notice,2002,Marc Lawrence,4,Hugh Grant,man,1960-09-09,42,Sandra Bullock,woman,1964-07-26,38
Solaris,2002,Steven Soderbergh,8,George Clooney,man,1961-05-06,41,Natascha McElhone,woman,1969-12-14,33
My Big Fat Greek Wedding,2002,Joel Zwick,1,John Corbett,man,1961-05-09,41,Nia Vardalos,woman,1962-09-24,40
Maid in Manhattan,2002,Wayne Wang,7,Ralph Fiennes,man,1962-12-22,40,Jennifer Lopez,woman,1969-07-24,33
Austin Powers in Goldmember,2002,Jay Roach,18,Mike Myers,man,1963-04-25,39,Beyonce Knowles,woman,1981-09-04,21
Empire,2002,Franc. Reyes,6,John Leguizamo,man,1964-07-22,38,Delilah Cotto,woman,1970-11-26,32
Chicago,2002,Rob Marshall,4,John C. Reilly,man,1965-05-24,37,Renee Zellweger,woman,1969-04-25,33
The Good Girl,2002,Miguel Arteta,4,John C. Reilly,man,1965-05-24,37,Jennifer Aniston,woman,1969-02-11,33
All About the Benjamins,2002,Kevin Bray,12,Tommy Flanagan,man,1965-07-03,37,Carmen Chaplin,woman,1977-07-27,25
Unfaithful,2002,Adrian Lyne,1,Olivier Martinez,man,1966-01-12,36,Diane Lane,woman,1965-01-21,37
Sweet Home Alabama,2002,Andy Tennant,10,Patrick Dempsey,man,1966-01-13,36,Reese Witherspoon,woman,1976-03-21,26
Mr. Deeds,2002,Steven Brill,5,Adam Sandler,man,1966-09-09,36,Winona Ryder,woman,1971-10-29,31
Punch-Drunk Love,2002,Paul Thomas Anderson,1,Adam Sandler,man,1966-09-09,36,Emily Watson,woman,1967-01-14,35
The Count of Monte Cristo,2002,Kevin Reynolds,9,Guy Pearce,man,1967-10-05,35,Dagmara Dominczyk,woman,1976-07-17,26
Snow Dogs,2002,Brian Levant,8,Cuba Gooding Jr.,man,1968-01-02,34,Joanna Bacalso,woman,1976-08-10,26
The Count of Monte Cristo,2002,Kevin Reynolds,8,Jim Caviezel,man,1968-09-26,34,Dagmara Dominczyk,woman,1976-07-17,26
The Quiet American,2002,Phillip Noyce,14,Brendan Fraser,man,1968-12-03,34,Do Thi Hai Yen,woman,1982-10-01,20
Barbershop,2002,Tim Story,7,Ice Cube,man,1969-06-15,33,Jazsmin Lewis,woman,1976-03-22,26
All About the Benjamins,2002,Kevin Bray,5,Ice Cube,man,1969-06-15,33,Valarie Rae Miller,woman,1974-04-16,28
Death to Smoochy,2002,Danny DeVito,10,Edward Norton,man,1969-08-18,33,Catherine Keener,woman,1959-03-23,43
Chicago,2002,Rob Marshall,0,Dominic West,man,1969-10-15,33,Renee Zellweger,woman,1969-04-25,33
Killing Me Softly,2002,Chen Kaige,0,Joseph Fiennes,man,1970-05-27,32,Heather Graham,woman,1970-01-29,32
The Bourne Identity,2002,Doug Liman,4,Matt Damon,man,1970-10-08,32,Franka Potente,woman,1974-07-22,28
All About the Benjamins,2002,Kevin Bray,4,Mike Epps,man,1970-11-18,32,Eva Mendes,woman,1974-03-05,28
Empire,2002,Franc. Reyes,0,Peter Sarsgaard,man,1971-03-07,31,Denise Richards,woman,1971-02-17,31
Sweet Home Alabama,2002,Andy Tennant,5,Josh Lucas,man,1971-06-20,31,Reese Witherspoon,woman,1976-03-21,26
The Sum of All Fears,2002,Phil Alden Robinson,1,Ben Affleck,man,1972-08-15,30,Bridget Moynahan,woman,1971-04-28,31
Queen of the Damned,2002,Michael Rymer,5,Stuart Townsend,man,1972-12-15,30,Marguerite Moreau,woman,1977-04-25,25
Gangs of New York,2002,Martin Scorsese,2,Leonardo DiCaprio,man,1974-11-11,28,Cameron Diaz,woman,1972-08-30,30
Catch Me If You Can,2002,Steven Spielberg,0,Leonardo DiCaprio,man,1974-11-11,28,Amy Adams,woman,1974-08-20,28
Spider-Man,2002,Sam Raimi,7,Tobey Maguire,man,1975-06-27,27,Kirsten Dunst,woman,1982-04-30,20
Tadpole,2002,Gary Winick,27,Aaron Stanford,man,1976-12-27,26,Sigourney Weaver,woman,1949-10-08,53
Tadpole,2002,Gary Winick,18,Aaron Stanford,man,1976-12-27,26,Bebe Neuwirth,woman,1958-12-31,44
Blue Crush,2002,John Stockwell,5,Matthew Davis,man,1978-05-08,24,Kate Bosworth,woman,1983-01-02,19
A Walk to Remember,2002,Adam Shankman,6,Shane West,man,1978-06-10,24,Mandy Moore,woman,1984-04-10,18
Slackers,2002,Dewey Nicks,1,Devon Sawa,man,1978-09-07,24,Jaime King,woman,1979-04-23,23
Slackers,2002,Dewey Nicks,0,Jason Segel,man,1980-01-18,22,Laura Prepon,woman,1980-03-07,22
The Good Girl,2002,Miguel Arteta,11,Jake Gyllenhaal,man,1980-12-19,22,Jennifer Aniston,woman,1969-02-11,33
Something's Gotta Give,2003,Nancy Meyers,35,Jack Nicholson,man,1937-04-22,66,Amanda Peet,woman,1972-01-11,31
Something's Gotta Give,2003,Nancy Meyers,9,Jack Nicholson,man,1937-04-22,66,Diane Keaton,woman,1946-01-05,57
Love Actually,2003,Richard Curtis,25,Alan Rickman,man,1946-02-21,57,Heike Makatsch,woman,1971-08-13,32
Love Actually,2003,Richard Curtis,13,Alan Rickman,man,1946-02-21,57,Emma Thompson,woman,1959-04-15,44
Seabiscuit,2003,Gary Ross,25,Jeff Bridges,man,1949-12-04,54,Elizabeth Banks,woman,1974-02-10,29
The Cooler,2003,Wayne Kramer,17,William H. Macy,man,1950-03-13,53,Maria Bello,woman,1967-04-18,36
Lost in Translation,2003,Sofia Coppola,34,Bill Murray,man,1950-09-21,53,Scarlett Johansson,woman,1984-11-22,19
Bad Santa,2003,Terry Zwigoff,12,Billy Bob Thornton,man,1955-08-04,48,Lauren Graham,woman,1967-03-16,36
Love Actually,2003,Richard Curtis,16,Hugh Grant,man,1960-09-09,43,Martine McCutcheon,woman,1976-05-14,27
Love Actually,2003,Richard Curtis,16,Colin Firth,man,1960-09-10,43,Lucia Moniz,woman,1976-09-09,27
Girl with a Pearl Earring,2003,Peter Webber,10,Colin Firth,man,1960-09-10,43,Essie Davis,woman,1970-11-30,33
Bruce Almighty,2003,Tom Shadyac,7,Jim Carrey,man,1962-01-17,41,Jennifer Aniston,woman,1969-02-11,34
Mona Lisa Smile,2003,Mike Newell,5,John Slattery,man,1962-08-13,41,Julia Roberts,woman,1967-10-28,36
Old School,2003,Todd Phillips,7,Craig Kilborn,man,1962-08-24,41,Ellen Pompeo,woman,1969-11-10,34
Something's Gotta Give,2003,Nancy Meyers,18,Keanu Reeves,man,1964-09-02,39,Diane Keaton,woman,1946-01-05,57
Anger Management,2003,Peter Segal,2,Adam Sandler,man,1966-09-09,37,Marisa Tomei,woman,1964-12-04,39
Elf,2003,Jon Favreau,13,Will Ferrell,man,1967-07-16,36,Zooey Deschanel,woman,1980-01-17,23
Mona Lisa Smile,2003,Mike Newell,2,Dominic West,man,1969-10-15,34,Julia Roberts,woman,1967-10-28,36
How to Lose a Guy in 10 Days,2003,Donald Petrie,10,Matthew McConaughey,man,1969-11-04,34,Kate Hudson,woman,1979-04-19,24
The Italian Job,2003,F. Gary Gray,4,Mark Wahlberg,man,1971-06-05,32,Charlize Theron,woman,1975-08-07,28
Love Actually,2003,Richard Curtis,7,Martin Freeman,man,1971-09-08,32,Joanna Page,woman,1978-03-23,25
Old School,2003,Todd Phillips,11,Luke Wilson,man,1971-09-21,32,Elisha Cuthbert,woman,1982-11-30,21
Alex & Emma,2003,Rob Reiner,8,Luke Wilson,man,1971-09-21,32,Kate Hudson,woman,1979-04-19,24
Old School,2003,Todd Phillips,2,Luke Wilson,man,1971-09-21,32,Ellen Pompeo,woman,1969-11-10,34
Gigli,2003,Martin Brest,3,Ben Affleck,man,1972-08-15,31,Jennifer Lopez,woman,1969-07-24,34
Cold Mountain,2003,Anthony Minghella,5,Jude Law,man,1972-12-29,31,Nicole Kidman,woman,1967-06-20,36
Jeux d'enfants,2003,Yann Samuell,2,Guillaume Canet,man,1973-04-10,30,Marion Cotillard,woman,1975-09-30,28
Mona Lisa Smile,2003,Mike Newell,9,Jordan Bridges,man,1973-11-13,30,Kirsten Dunst,woman,1982-04-30,21
Honey,2003,Bille Woodruff,7,Mekhi Phifer,man,1974-12-29,29,Jessica Alba,woman,1981-04-28,22
Monster,2003,Patty Jenkins,5,Charlize Theron,woman,1975-08-07,28,Christina Ricci,woman,1980-02-12,23
Girl with a Pearl Earring,2003,Peter Webber,8,Cillian Murphy,man,1976-05-25,27,Scarlett Johansson,woman,1984-11-22,19
Pirates of the Caribbean,2003,Gore Verbinski,8,Orlando Bloom,man,1977-01-13,26,Keira Knightley,woman,1985-03-26,18
Love Actually,2003,Richard Curtis,8,Chiwetel Ejiofor,man,1977-07-10,26,Keira Knightley,woman,1985-03-26,18
Mona Lisa Smile,2003,Mike Newell,3,Topher Grace,man,1978-07-19,25,Julia Stiles,woman,1981-03-28,22
Mona Lisa Smile,2003,Mike Newell,0,Ebon Moss-Bachrach,man,1978-08-17,25,Ginnifer Goodwin,woman,1978-05-22,25
X2: X-Men United,2003,Bryan Singer,3,Shawn Ashmore,man,1979-10-07,24,Anna Paquin,woman,1982-07-24,21
Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,34,Tom Wilkinson,man,1948-02-05,56,Kirsten Dunst,woman,1982-04-30,22
Laws of Attraction,2004,Peter Howitt,7,Pierce Brosnan,man,1953-05-16,51,Julianne Moore,woman,1960-12-03,44
Beyond the Sea,2004,Kevin Spacey,24,Kevin Spacey,man,1959-07-26,45,Kate Bosworth,woman,1983-01-02,21
Raising Helen,2004,Garry Marshall,18,John Corbett,man,1961-05-09,43,Kate Hudson,woman,1979-04-19,25
Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,13,Jim Carrey,man,1962-01-17,42,Kate Winslet,woman,1975-10-05,29
Troy,2004,Wolfgang Petersen,16,Brad Pitt,man,1963-12-18,41,Rose Byrne,woman,1979-07-24,25
National Treasure,2004,Jon Turteltaub,12,Nicolas Cage,man,1964-01-07,40,Diane Kruger,woman,1976-07-15,28
King Arthur,2004,Antoine Fuqua,21,Clive Owen,man,1964-10-03,40,Keira Knightley,woman,1985-03-26,19
Closer,2004,Mike Nichols,17,Clive Owen,man,1964-10-03,40,Natalie Portman,woman,1981-06-09,23
Closer,2004,Mike Nichols,3,Clive Owen,man,1964-10-03,40,Julia Roberts,woman,1967-10-28,37
Along Came Polly,2004,John Hamburg,4,Ben Stiller,man,1965-11-30,39,Jennifer Aniston,woman,1969-02-11,35
Spanglish,2004,James L. Brooks,10,Adam Sandler,man,1966-09-09,38,Paz Vega,woman,1976-01-02,28
50 First Dates,2004,Peter Segal,9,Adam Sandler,man,1966-09-09,38,Drew Barrymore,woman,1975-02-22,29
Spanglish,2004,James L. Brooks,0,Adam Sandler,man,1966-09-09,38,Tea Leoni,woman,1966-02-25,38
Little Black Book,2004,Nick Hurran,10,Ron Livingston,man,1967-06-05,37,Brittany Murphy,woman,1977-11-10,27
Anchorman: The Legend of Ron Burgundy,2004,Adam McKay,4,Will Ferrell,man,1967-07-16,37,Christina Applegate,woman,1971-11-25,33
Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,15,Mark Ruffalo,man,1967-11-22,37,Kirsten Dunst,woman,1982-04-30,22
13 Going on 30,2004,Gary Winick,5,Mark Ruffalo,man,1967-11-22,37,Jennifer Garner,woman,1972-04-17,32
Layer Cake,2004,Matthew Vaughn,13,Daniel Craig,man,1968-03-02,36,Sienna Miller,woman,1981-12-28,23
Dodgeball,2004,Rawson Marshall Thurber,1,Vince Vaughn,man,1970-03-28,34,Christine Taylor,woman,1971-07-30,33
Wimbledon,2004,Richard Loncraine,11,Paul Bettany,man,1971-05-27,33,Kirsten Dunst,woman,1982-04-30,22
Jersey Girl,2004,Kevin Smith,5,Ben Affleck,man,1972-08-15,32,Liv Tyler,woman,1977-07-01,27
Win a Date with Tad Hamilton!,2004,Robert Luketic,11,Josh Duhamel,man,1972-11-14,32,Kate Bosworth,woman,1983-01-02,21
Closer,2004,Mike Nichols,9,Jude Law,man,1972-12-29,32,Natalie Portman,woman,1981-06-09,23
Closer,2004,Mike Nichols,5,Jude Law,man,1972-12-29,32,Julia Roberts,woman,1967-10-28,37
The Notebook,2004,Nick Cassavetes,5,James Marsden,man,1973-09-18,31,Rachel McAdams,woman,1978-11-17,26
The Aviator,2004,Martin Scorsese,10,Leonardo DiCaprio,man,1974-11-11,30,Kelli Garner,woman,1984-04-11,20
The Aviator,2004,Martin Scorsese,5,Leonardo DiCaprio,man,1974-11-11,30,Cate Blanchett,woman,1969-05-14,35
The Aviator,2004,Martin Scorsese,1,Leonardo DiCaprio,man,1974-11-11,30,Kate Beckinsale,woman,1973-07-26,31
Garden State,2004,Zach Braff,6,Zach Braff,man,1975-04-06,29,Natalie Portman,woman,1981-06-09,23
Troy,2004,Wolfgang Petersen,1,Orlando Bloom,man,1977-01-13,27,Diane Kruger,woman,1976-07-15,28
The Butterfly Effect,2004,"Eric Bress, J. Mackye Gruber",2,Ashton Kutcher,man,1978-02-07,26,Amy Smart,woman,1976-03-26,28
Chasing Liberty,2004,Andy Cadiff,6,Matthew Goode,man,1978-04-03,26,Mandy Moore,woman,1984-04-10,20
In Good Company,2004,Paul Weitz,6,Topher Grace,man,1978-07-19,26,Scarlett Johansson,woman,1984-11-22,20
Win a Date with Tad Hamilton!,2004,Robert Luketic,5,Topher Grace,man,1978-07-19,26,Kate Bosworth,woman,1983-01-02,21
Layer Cake,2004,Matthew Vaughn,1,Ben Whishaw,man,1980-10-14,24,Sienna Miller,woman,1981-12-28,23
The Notebook,2004,Nick Cassavetes,2,Ryan Gosling,man,1980-11-12,24,Rachel McAdams,woman,1978-11-17,26
A Very Long Engagement,2004,Jean-Pierre Jeunet,8,Gaspard Ulliel,man,1984-11-25,20,Audrey Tautou,woman,1976-08-09,28
Shopgirl,2005,Anand Tucker,34,Steve Martin,man,1945-08-14,60,Claire Danes,woman,1979-04-12,26
Rumor Has It...,2005,Rob Reiner,25,Richard Jenkins,man,1947-05-03,58,Jennifer Taylor,woman,1972-04-19,33
Rumor Has It...,2005,Rob Reiner,14,Kevin Costner,man,1955-01-18,50,Jennifer Aniston,woman,1969-02-11,36
The Squid and the Whale,2005,Noah Baumbach,27,Jeff Daniels,man,1955-01-19,50,Anna Paquin,woman,1982-07-24,23
A History of Violence,2005,David Cronenberg,9,Viggo Mortensen,man,1958-10-20,47,Maria Bello,woman,1967-04-18,38
V for Vendetta,2005,James McTeigue,21,Hugo Weaving,man,1960-04-04,45,Natalie Portman,woman,1981-06-09,24
The 40-Year Old Virgin,2005,Judd Apatow,3,Steve Carell,man,1962-08-16,43,Catherine Keener,woman,1959-03-23,46
The Constant Gardener,2005,Fernando Meirelles,8,Ralph Fiennes,man,1962-12-22,43,Rachel Weisz,woman,1970-03-07,35
Mr. & Mrs. Smith,2005,Doug Liman,12,Brad Pitt,man,1963-12-18,42,Angelina Jolie,woman,1975-06-04,30
Lord of War,2005,Andrew Niccol,7,Nicolas Cage,man,1964-01-07,41,Bridget Moynahan,woman,1971-04-28,34
Cinderella Man,2005,Ron Howard,5,Russell Crowe,man,1964-04-07,41,Renee Zellweger,woman,1969-04-25,36
Just Like Heaven,2005,Mark Waters,9,Mark Ruffalo,man,1967-11-22,38,Reese Witherspoon,woman,1976-03-21,29
Rumor Has It...,2005,Rob Reiner,2,Mark Ruffalo,man,1967-11-22,38,Jennifer Aniston,woman,1969-02-11,36
Hitch,2005,Andy Tennant,6,Will Smith,man,1968-09-25,37,Eva Mendes,woman,1974-03-05,31
Wedding Crashers,2005,David Dobkin,10,Owen Wilson,man,1968-11-18,37,Rachel McAdams,woman,1978-11-17,27
Hustle & Flow,2005,Craig Brewer,1,Terrence Howard,man,1969-03-11,36,Taraji P. Henson,woman,1970-09-11,35
Wedding Crashers,2005,David Dobkin,6,Vince Vaughn,man,1970-03-28,35,Isla Fisher,woman,1976-02-03,29
King Kong,2005,Peter Jackson,5,Adrien Brody,man,1973-04-14,32,Naomi Watts,woman,1968-09-28,37
Imagine Me & You,2005,Ol Parker,3,Lena Headey,woman,1973-10-03,32,Piper Perabo,woman,1976-10-31,29
Batman Begins,2005,Christopher Nolan,4,Christian Bale,man,1974-01-30,31,Katie Holmes,woman,1978-12-18,27
Fever Pitch,2005,"Bobby Farrelly, Peter Farrelly",1,Jimmy Fallon,man,1974-09-19,31,Drew Barrymore,woman,1975-02-22,30
Pride & Prejudice,2005,Joe Wright,11,Matthew Macfadyen,man,1974-10-17,31,Keira Knightley,woman,1985-03-26,20
Walk the Line,2005,James Mangold,4,Joaquin Phoenix,man,1974-10-28,31,Ginnifer Goodwin,woman,1978-05-22,27
Walk the Line,2005,James Mangold,2,Joaquin Phoenix,man,1974-10-28,31,Reese Witherspoon,woman,1976-03-21,29
Wedding Crashers,2005,David Dobkin,3,Bradley Cooper,man,1975-01-05,30,Rachel McAdams,woman,1978-11-17,27
Elizabethtown,2005,Cameron Crowe,5,Orlando Bloom,man,1977-01-13,28,Kirsten Dunst,woman,1982-04-30,23
Imagine Me & You,2005,Ol Parker,2,Matthew Goode,man,1978-04-03,27,Piper Perabo,woman,1976-10-31,29
Prime,2005,Ben Younger,8,Bryan Greenberg,man,1978-05-24,27,Uma Thurman,woman,1970-04-29,35
Casanova,2005,Lasse Hallström,2,Heath Ledger,man,1979-04-24,26,Sienna Miller,woman,1981-12-28,24
