movie_name,release_year,director,age_difference,actor_1_name,actor_1_gender,actor_1_birthdate,actor_1_age,actor_2_name,actor_2_gender,actor_2_birthdate,actor_2_age
The Man with the Golden Gun,1974,Guy Hamilton,23,Christopher Lee,man,1922-06-27,52,Maud Adams,woman,1945-02-12,29
Magnolia,1999,Paul Thomas Anderson,38,Jason Robards,man,1922-07-26,77,Julianne Moore,woman,1960-12-03,39
Thunderball,1965,Terence Young,19,Adolfo Celi,man,1922-07-27,43,Claudine Auger,woman,1941-04-26,24
Last Tango in Paris,1972,Bernardo Bertolucci,28,Marlon Brando,man,1924-04-03,48,Maria Schneider,woman,1952-03-27,20
The Godfather,1972,Francis Ford Coppola,6,Marlon Brando,man,1924-04-03,48,Morgana King,woman,1930-06-04,42
8 1/2,1963,Federico Fellini,14,Marcello Mastroianni,man,1924-09-28,39,Claudia Cardinale,woman,1938-04-15,25
La decima vittima,1965,Elio Petri,12,Marcello Mastroianni,man,1924-09-28,41,Ursula Andress,woman,1936-03-19,29
La Dolce Vita,1960,Federico Fellini,4,Marcello Mastroianni,man,1924-09-28,36,Yvonne Furneaux,woman,1928-05-11,32
"Fort Apache, The Bronx",1981,Daniel Petrie,33,Paul Newman,man,1925-01-26,56,Rachel Ticotin,woman,1958-11-01,23
The Color of Money,1986,Martin Scorsese,26,Paul Newman,man,1925-01-26,61,Helen Shaver,woman,1951-02-24,35
The Verdict,1982,Sidney Lumet,21,Paul Newman,man,1925-01-26,57,Charlotte Rampling,woman,1946-02-05,36
Cat on a Hot Tin Roof,1958,Richard Brooks,7,Paul Newman,man,1925-01-26,33,Elizabeth Taylor,woman,1932-02-27,26
The Hustler,1961,Robert Rossen,7,Paul Newman,man,1925-01-26,36,Piper Laurie,woman,1932-01-22,29
The Sting,1973,George Roy Hill,7,Paul Newman,man,1925-01-26,48,Eileen Brennan,woman,1932-09-03,41
L'Avventura,1960,Michelangelo Antonioni,6,Gabriele Ferzetti,man,1925-03-17,35,Monica Vitti,woman,1931-11-03,29
The Naked Gun,1988,David Zucker,19,Leslie Nielsen,man,1926-02-11,62,Priscilla Presley,woman,1945-04-24,43
Guess Who's Coming to Dinner,1967,John Huston,18,Sidney Poitier,man,1927-02-20,40,Katharine Houghton,woman,1945-03-10,22
A Woman Under the Influence,1974,John Cassavetes,3,Peter Falk,man,1927-09-16,47,Gena Rowlands,woman,1930-06-19,44
A View to a Kill,1985,John Glen,30,Roger Moore,man,1927-10-14,58,Mary Stavin,woman,1957-08-20,28
For Your Eyes Only,1981,John Glen,30,Roger Moore,man,1927-10-14,54,Carole Bouquet,woman,1957-08-18,24
A View to a Kill,1985,John Glen,29,Roger Moore,man,1927-10-14,58,Fiona Fullerton,woman,1956-10-10,29
A View to a Kill,1985,John Glen,28,Roger Moore,man,1927-10-14,58,Tanya Roberts,woman,1955-10-15,30
Live and Let Die,1973,Guy Hamilton,24,Roger Moore,man,1927-10-14,46,Jane Seymour,woman,1951-02-15,22
Moonraker,1979,Lewis Gilbert,24,Roger Moore,man,1927-10-14,52,Emily Bolton,woman,1951-06-15,28
Moonraker,1979,Lewis Gilbert,23,Roger Moore,man,1927-10-14,52,Corinne Clery,woman,1950-03-23,29
Octopussy,1983,John Glen,23,Roger Moore,man,1927-10-14,56,Kristina Wayborn,woman,1950-09-24,33
Live and Let Die,1973,Guy Hamilton,22,Roger Moore,man,1927-10-14,46,Madeline Smith,woman,1949-08-02,24
Live and Let Die,1973,Guy Hamilton,22,Roger Moore,man,1927-10-14,46,Gloria Hendry,woman,1949-03-03,24
A View to a Kill,1985,John Glen,21,Roger Moore,man,1927-10-14,58,Grace Jones,woman,1948-05-19,37
For Your Eyes Only,1981,John Glen,21,Roger Moore,man,1927-10-14,54,Cassandra Harris,woman,1948-12-15,33
Moonraker,1979,Lewis Gilbert,20,Roger Moore,man,1927-10-14,52,Lois Chiles,woman,1947-04-15,32
The Spy Who Loved Me,1977,Lewis Gilbert,20,Roger Moore,man,1927-10-14,50,Barbara Bach,woman,1947-08-27,30
Octopussy,1983,John Glen,18,Roger Moore,man,1927-10-14,56,Maud Adams,woman,1945-02-12,38
The Man with the Golden Gun,1974,Guy Hamilton,18,Roger Moore,man,1927-10-14,47,Maud Adams,woman,1945-02-12,29
The Man with the Golden Gun,1974,Guy Hamilton,15,Roger Moore,man,1927-10-14,47,Britt Ekland,woman,1942-10-06,32
Breakfast at Tiffany's,1961,Blake Edwards,1,George Peppard,man,1928-10-01,33,Audrey Hepburn,woman,1929-05-04,32
Husbands,1970,John Cassavetes,17,John Cassavetes,man,1929-12-09,41,Jenny Runacre,woman,1946-08-18,24
Sound of Music,1965,Robert Wise,6,Christopher Plummer,man,1929-12-13,36,Julie Andrews,woman,1935-10-01,30
The Royal Tenenbaums,2001,Wes Anderson,21,Gene Hackman,man,1930-01-30,71,Anjelica Huston,woman,1951-07-08,50
The Sand Pebbles,1966,Robert Wise,16,Steve McQueen,man,1930-03-24,36,Candice Bergen,woman,1946-05-09,20
The Thomas Crown Affair,1968,Norman Jewison,11,Steve McQueen,man,1930-03-24,38,Faye Dunaway,woman,1941-01-14,27
Le Mans,1971,Lee H. Katzin,5,Steve McQueen,man,1930-03-24,41,Elga Andersen,woman,1935-02-02,36
The Bridges of Madison County,1995,Clint Eastwood,19,Clint Eastwood,man,1930-05-31,65,Meryl Streep,woman,1949-06-22,46
Entrapment,1999,Jon Amiel,39,Sean Connery,man,1930-08-25,69,Catherine Zeta-Jones,woman,1969-09-25,30
First Knight,1995,Jerry Zucker,35,Sean Connery,man,1930-08-25,65,Julia Ormond,woman,1965-01-04,30
From Russia with Love,1963,Terence Young,14,Sean Connery,man,1930-08-25,33,Aliza Gur,woman,1944-04-01,19
You Only Live Twice,1967,Lewis Gilbert,13,Sean Connery,man,1930-08-25,37,Mie Hama,woman,1943-11-20,24
From Russia with Love,1963,Terence Young,12,Sean Connery,man,1930-08-25,33,Daniela Bianchi,woman,1942-01-31,21
From Russia with Love,1963,Terence Young,11,Sean Connery,man,1930-08-25,33,Martine Beswick,woman,1941-09-26,22
Thunderball,1965,Terence Young,11,Sean Connery,man,1930-08-25,35,Claudine Auger,woman,1941-04-26,24
You Only Live Twice,1967,Lewis Gilbert,11,Sean Connery,man,1930-08-25,37,Akiko Wakabayashi,woman,1941-08-26,26
Diamonds Are Forever,1971,Guy Hamilton,10,Sean Connery,man,1930-08-25,41,Jill St. John,woman,1940-08-19,31
You Only Live Twice,1967,Lewis Gilbert,8,Sean Connery,man,1930-08-25,37,Karin Dor,woman,1938-02-22,29
Goldfinger,1964,Guy Hamilton,7,Sean Connery,man,1930-08-25,34,Shirley Eaton,woman,1937-01-12,27
Thunderball,1965,Terence Young,7,Sean Connery,man,1930-08-25,35,Luciana Paluzzi,woman,1937-06-10,28
Dr. No,1962,Terence Young,6,Sean Connery,man,1930-08-25,32,Ursula Andress,woman,1936-03-19,26
Goldfinger,1964,Guy Hamilton,5,Sean Connery,man,1930-08-25,34,Honor Blackman,woman,1925-08-22,39
Dr. No,1962,Terence Young,4,Sean Connery,man,1930-08-25,32,Zena Marshall,woman,1926-01-01,36
Dr. No,1962,Terence Young,1,Sean Connery,man,1930-08-25,32,Eunice Gayson,woman,1931-03-17,31
The Killing of a Chinese Bookie,1976,John Cassavetes,18,Ben Gazzara,man,1930-08-28,46,Azizi Johari,woman,1948-08-24,28
The Big Lebowski,1998,Joel Coen,45,David Huddleston,man,1930-09-17,68,Tara Reid,woman,1975-11-08,23
Venus,2006,Michael Curtiz,50,Peter O'Toole,man,1932-08-02,74,Jodie Whittaker,woman,1982-06-03,24
The Quiet American,2002,Phillip Noyce,49,Michael Caine,man,1933-03-14,69,Do Thi Hai Yen,woman,1982-10-01,20
Poison Ivy,1992,Katt Shea,42,Tom Skerritt,man,1933-08-25,59,Drew Barrymore,woman,1975-02-22,17
The Private Lives of Pippa Lee,2009,Rebecca Miller,32,Alan Arkin,man,1934-03-26,75,Robin Wright,woman,1966-04-08,43
Husbands and Wives,1992,Woody Allen,21,Sydney Pollack,man,1934-07-01,58,Judy Davis,woman,1955-04-23,37
For Your Eyes Only,1981,John Glen,13,Chaim Topol,man,1935-09-09,46,Cassandra Harris,woman,1948-12-15,33
Halloween III: Season of the Witch,1982,Tommy Lee Wallace,24,Tom Atkins,man,1935-11-13,47,Stacey Nelkin,woman,1959-09-10,23
Husbands and Wives,1992,Woody Allen,38,Woody Allen,man,1935-12-01,57,Juliette Lewis,woman,1973-06-21,19
Hollywood Ending,2002,Woody Allen,33,Woody Allen,man,1935-12-01,67,Debra Messing,woman,1968-08-15,34
Mighty Aphrodite,1995,Woody Allen,32,Woody Allen,man,1935-12-01,60,Mira Sorvino,woman,1967-09-28,28
Mighty Aphrodite,1995,Woody Allen,31,Woody Allen,man,1935-12-01,60,Helena Bonham Carter,woman,1966-05-26,29
Manhattan,1979,Woody Allen,26,Woody Allen,man,1935-12-01,44,Mariel Hemingway,woman,1961-11-22,18
Annie Hall,1977,Woody Allen,11,Woody Allen,man,1935-12-01,42,Diane Keaton,woman,1946-01-05,31
Husbands and Wives,1992,Woody Allen,10,Woody Allen,man,1935-12-01,57,Mia Farrow,woman,1945-02-09,47
Smokey and the Bandit,1977,Hal Needham,10,Burt Reynolds,man,1936-02-11,41,Sally Field,woman,1946-11-06,31
The Best Little Whorehouse in Texas,1982,Colin Higgins,10,Burt Reynolds,man,1936-02-11,46,Dolly Parton,woman,1946-01-19,36
A Star Is Born,1975,Frank Pierson,6,Kris Kristofferson,man,1936-06-22,39,Barbra Streisand,woman,1942-04-24,33
Indecent Proposal,1993,Adrian Lyne,26,Robert Redford,man,1936-08-18,57,Demi Moore,woman,1962-11-11,31
The Horse Whisperer,1998,Robert Redford,24,Robert Redford,man,1936-08-18,62,Kristin Scott Thomas,woman,1960-05-24,38
A Walk in the Woods,2015,Ken Kwapis,23,Robert Redford,man,1936-08-18,79,Emma Thompson,woman,1959-04-15,56
Up Close & Personal,1996,Jon Avnet,22,Robert Redford,man,1936-08-18,60,Michelle Pfeiffer,woman,1958-04-29,38
The Great Gatsby,1974,Jack Clayton,9,Robert Redford,man,1936-08-18,38,Mia Farrow,woman,1945-02-09,29
The Way We Were,1973,Sydney Pollack,6,Robert Redford,man,1936-08-18,37,Barbra Streisand,woman,1942-04-24,31
Bulworth,1998,Warren Beatty,29,Warren Beatty,man,1937-03-30,61,Halle Berry,woman,1966-08-14,32
Bugsy,1991,Barry Levinson,21,Warren Beatty,man,1937-03-30,54,Annette Bening,woman,1958-05-29,33
Something's Gotta Give,2003,Nancy Meyers,35,Jack Nicholson,man,1937-04-22,66,Amanda Peet,woman,1972-01-11,31
As Good as It Gets,1997,James L. Brooks,26,Jack Nicholson,man,1937-04-22,60,Helen Hunt,woman,1963-06-15,34
Something's Gotta Give,2003,Nancy Meyers,9,Jack Nicholson,man,1937-04-22,66,Diane Keaton,woman,1946-01-05,57
Chinatown,1974,Roman Polanski,4,Jack Nicholson,man,1937-04-22,37,Faye Dunaway,woman,1941-01-14,33
Tootsie,1982,Sydney Pollack,12,Dustin Hoffman,man,1937-08-08,45,Jessica Lange,woman,1949-04-20,33
The Graduate,1967,Mike Nichols,6,Dustin Hoffman,man,1937-08-08,30,Anne Bancroft,woman,1931-09-17,36
The Graduate,1967,Mike Nichols,3,Dustin Hoffman,man,1937-08-08,30,Katharine Ross,woman,1940-01-29,27
Manhattan,1979,Woody Allen,8,Michael Murphy,man,1938-05-05,41,Diane Keaton,woman,1946-01-05,33
Tommy Boy,1995,Peter Segal,18,Brian Dennehy,man,1938-07-09,57,Bo Derek,woman,1956-11-20,39
Sister Act,1992,Emile Ardolino,16,Harvey Keitel,man,1939-05-13,53,Whoopi Goldberg,woman,1955-11-13,37
Richard III,1995,Richard Loncraine,21,Ian McKellen,man,1939-05-25,56,Kristin Scott Thomas,woman,1960-05-24,35
On Her Majesty's Secret Service,1969,Peter R. Hunt,6,George Lazenby,man,1939-09-05,30,Angela Scoular,woman,1945-11-08,24
On Her Majesty's Secret Service,1969,Peter R. Hunt,5,George Lazenby,man,1939-09-05,30,Catherine Schell,woman,1944-07-17,25
On Her Majesty's Secret Service,1969,Peter R. Hunt,1,George Lazenby,man,1939-09-05,30,Diana Rigg,woman,1938-07-20,31
Scarface,1983,Brian De Palma,18,Al Pacino,man,1940-04-25,43,Michelle Pfeiffer,woman,1958-04-29,25
The Godfather,1972,Francis Ford Coppola,6,Al Pacino,man,1940-04-25,32,Diane Keaton,woman,1946-01-05,26
I Love Trouble,1994,Charles Shyer,26,Nick Nolte,man,1941-02-08,53,Julia Roberts,woman,1967-10-28,27
Love Story,1970,Arthur Hiller,2,Ryan O'Neal,man,1941-04-20,29,Ali MacGraw,woman,1939-04-01,31
La ragazza con la valigia,1961,Valerio Zurlini,3,Jacques Perrin,man,1941-07-13,20,Claudia Cardinale,woman,1938-04-15,23
"Six Days, Seven Nights",1998,Ivan Reitman,27,Harrison Ford,man,1942-07-13,56,Anne Heche,woman,1969-05-25,29
Sabrina,1995,Sydney Pollack,23,Harrison Ford,man,1942-07-13,53,Julia Ormond,woman,1965-01-04,30
Regarding Henry,1991,Mike Nichols,20,Harrison Ford,man,1942-07-13,49,Rebecca Miller,woman,1962-09-15,29
Firewall,2006,Richard Loncraine,19,Harrison Ford,man,1942-07-13,64,Virginia Madsen,woman,1961-09-11,45
Random Hearts,1999,Sydney Pollack,18,Harrison Ford,man,1942-07-13,57,Kristin Scott Thomas,woman,1960-05-24,39
Blade Runner,1982,Ridley Scott,17,Harrison Ford,man,1942-07-13,40,Sean Young,woman,1959-11-20,23
Regarding Henry,1991,Mike Nichols,16,Harrison Ford,man,1942-07-13,49,Annette Bening,woman,1958-05-29,33
What Lies Beneath,2000,Robert Zemeckis,16,Harrison Ford,man,1942-07-13,58,Michelle Pfeiffer,woman,1958-04-29,42
Working Girl,1988,Mike Nichols,15,Harrison Ford,man,1942-07-13,46,Melanie Griffith,woman,1957-08-09,31
Star Wars,1977,George Lucas,14,Harrison Ford,man,1942-07-13,35,Carrie Fisher,woman,1956-10-21,21
Indiana Jones and the Temple of Doom,1984,Steven Spielberg,11,Harrison Ford,man,1942-07-13,42,Kate Capshaw,woman,1953-11-03,31
Raiders of the Lost Ark,1981,Steven Spielberg,9,Harrison Ford,man,1942-07-13,39,Karen Allen,woman,1951-10-05,30
Prima della rivoluzione,1964,Michelangelo Antonioni,10,Francesco Barilli,man,1943-02-04,21,Adriana Asti,woman,1933-04-30,31
My Cousin Vinny,1992,Jonathan Lynn,21,Joe Pesci,man,1943-02-09,49,Marisa Tomei,woman,1964-12-04,28
A View to a Kill,1985,John Glen,5,Christopher Walken,man,1943-03-31,42,Grace Jones,woman,1948-05-19,37
Stone,2010,John Curran,32,Robert De Niro,man,1943-08-18,67,Milla Jovovich,woman,1975-12-17,35
15 Minutes,2001,John Herzfeld,24,Robert De Niro,man,1943-08-18,58,Melina Kanakaredes,woman,1967-04-23,34
Raging Bull,1980,Martin Scorsese,17,Robert De Niro,man,1943-08-18,37,Cathy Moriarty,woman,1960-11-29,20
Casino,1995,Martin Scorsese,15,Robert De Niro,man,1943-08-18,52,Sharon Stone,woman,1958-03-10,37
National Lampoon's Vacation,1983,Harold Ramis,8,Chevy Chase,man,1943-10-08,40,Beverly D'Angelo,woman,1951-11-15,32
Elegy,2008,Isabel Coixet,31,Ben Kingsley,man,1943-12-31,65,Penelope Cruz,woman,1974-04-28,34
Elegy,2008,Isabel Coixet,16,Ben Kingsley,man,1943-12-31,65,Patricia Clarkson,woman,1959-12-29,49
The Family Stone,2007,Thomas Bezucha,2,Craig T. Nelson,man,1944-04-04,63,Diane Keaton,woman,1946-01-05,61
A Perfect Murder,1998,Andrew Davis,28,Michael Douglas,man,1944-09-25,54,Gwyneth Paltrow,woman,1972-09-27,26
Basic Instinct,1992,Paul Verhoeven,14,Michael Douglas,man,1944-09-25,48,Sharon Stone,woman,1958-03-10,34
The American President,1995,Rob Reiner,14,Michael Douglas,man,1944-09-25,51,Annette Bening,woman,1958-05-29,37
Wonder Boys,2000,Curtis Hanson,13,Michael Douglas,man,1944-09-25,56,Frances McDormand,woman,1957-06-23,43
And So It Goes,2014,Rob Reiner,2,Michael Douglas,man,1944-09-25,70,Diane Keaton,woman,1946-01-05,68
The Living Daylights,1987,John Glen,16,Jeroen Krabbe,man,1944-12-05,43,Maryam d'Abo,woman,1960-12-27,27
Shopgirl,2005,Anand Tucker,34,Steve Martin,man,1945-08-14,60,Claire Danes,woman,1979-04-12,26
L.A. Story,1991,Mick Jackson,20,Steve Martin,man,1945-08-14,46,Sarah Jessica Parker,woman,1965-03-25,26
L.A. Story,1991,Mick Jackson,5,Steve Martin,man,1945-08-14,46,Victoria Tennant,woman,1950-09-30,41
It's Complicated,2009,Nancy Meyers,4,Steve Martin,man,1945-08-14,64,Meryl Streep,woman,1949-06-22,60
Sense and Sensibility,1995,Ang Lee,29,Alan Rickman,man,1946-02-21,49,Kate Winslet,woman,1975-10-05,20
Love Actually,2003,Richard Curtis,25,Alan Rickman,man,1946-02-21,57,Heike Makatsch,woman,1971-08-13,32
Love Actually,2003,Richard Curtis,13,Alan Rickman,man,1946-02-21,57,Emma Thompson,woman,1959-04-15,44
Licence to Kill,1989,John Glen,21,Timothy Dalton,man,1946-03-21,43,Talisa Soto,woman,1967-03-27,22
Licence to Kill,1989,John Glen,15,Timothy Dalton,man,1946-03-21,43,Carey Lowell,woman,1961-02-11,28
The Living Daylights,1987,John Glen,14,Timothy Dalton,man,1946-03-21,41,Maryam d'Abo,woman,1960-12-27,27
The Royal Tenenbaums,2001,Wes Anderson,5,Danny Glover,man,1946-07-22,55,Anjelica Huston,woman,1951-07-08,50
Rumor Has It...,2005,Rob Reiner,25,Richard Jenkins,man,1947-05-03,58,Jennifer Taylor,woman,1972-04-19,33
Tomorrow Never Dies,1997,Roger Spottiswoode,17,Jonathan Pryce,man,1947-06-01,50,Teri Hatcher,woman,1964-12-08,33
Mighty Aphrodite,1995,Woody Allen,19,Peter Weller,man,1947-06-24,48,Helena Bonham Carter,woman,1966-05-26,29
Whatever Works,2009,Woody Allen,40,Larry David,man,1947-07-02,62,Evan Rachel Wood,woman,1987-09-07,22
Whatever Works,2009,Woody Allen,18,Larry David,man,1947-07-02,62,Jessica Hecht,woman,1965-06-28,44
Kindergarten Cop,1990,Ivan Reitman,17,Arnold Schwarzenegger,man,1947-07-30,43,Penelope Ann Miller,woman,1964-01-13,26
Because I Said So,2007,Michael Lehmann,1,Stephen Collins,man,1947-10-01,60,Diane Keaton,woman,1946-01-05,61
French Kiss,1995,Lawrence Kasdan,14,Kevin Kline,man,1947-10-24,48,Meg Ryan,woman,1961-11-19,34
Dave,1993,Ivan Reitman,2,Kevin Kline,man,1947-10-24,46,Sigourney Weaver,woman,1949-10-08,44
Down and Out in Beverly Hills,1986,Paul Mazursky,12,Richard Dreyfuss,man,1947-10-29,39,Elizabeth Peña,woman,1959-09-23,27
Down and Out in Beverly Hills,1986,Paul Mazursky,2,Richard Dreyfuss,man,1947-10-29,39,Bette Midler,woman,1945-12-01,41
Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,34,Tom Wilkinson,man,1948-02-05,56,Kirsten Dunst,woman,1982-04-30,22
Analyze This,1999,Harold Ramis,15,Billy Crystal,man,1948-03-14,51,Lisa Kudrow,woman,1963-07-30,36
When Harry Met Sally...,1989,Rob Reiner,13,Billy Crystal,man,1948-03-14,41,Meg Ryan,woman,1961-11-19,28
Forget Paris,1995,Billy Crystal,7,Billy Crystal,man,1948-03-14,47,Debra Winger,woman,1955-05-16,40
Harold and Maude,1971,Hal Ashby,52,Bud Cort,man,1948-03-29,23,Ruth Gordon,woman,1896-10-30,75
Tadpole,2002,Gary Winick,1,John Ritter,man,1948-09-17,54,Sigourney Weaver,woman,1949-10-08,53
Damage,1992,Louis Malle,16,Jeremy Irons,man,1948-09-19,44,Juliette Binoche,woman,1964-03-09,28
The First Wives Club,1996,Hugh Wilson,23,Victor Garber,man,1949-03-16,47,Elizabeth Berkley,woman,1972-07-28,24
Arbitrage,2012,Nicholas Jarecki,29,Richard Gere,man,1949-08-31,63,Laetitia Casta,woman,1978-05-11,34
Amelia,2009,Mira Nair,25,Richard Gere,man,1949-08-31,60,Hilary Swank,woman,1974-07-30,35
Autumn in New York,2000,Joan Chen,22,Richard Gere,man,1949-08-31,51,Winona Ryder,woman,1971-10-29,29
The Mothman Prophecies,2002,Mark Pellington,19,Richard Gere,man,1949-08-31,53,Debra Messing,woman,1968-08-15,34
Pretty Woman,1990,Garry Marshall,18,Richard Gere,man,1949-08-31,41,Julia Roberts,woman,1967-10-28,23
Runaway Bride,1999,Garry Marshall,18,Richard Gere,man,1949-08-31,50,Julia Roberts,woman,1967-10-28,32
First Knight,1995,Jerry Zucker,16,Richard Gere,man,1949-08-31,46,Julia Ormond,woman,1965-01-04,30
Nights in Rodanthe,2008,George C. Wolfe,16,Richard Gere,man,1949-08-31,59,Diane Lane,woman,1965-01-21,43
Unfaithful,2002,Adrian Lyne,16,Richard Gere,man,1949-08-31,53,Diane Lane,woman,1965-01-21,37
An Officer and a Gentleman,1982,Taylor Hackford,6,Richard Gere,man,1949-08-31,33,Debra Winger,woman,1955-05-16,27
Arbitrage,2012,Nicholas Jarecki,3,Richard Gere,man,1949-08-31,63,Susan Sarandon,woman,1946-10-04,66
Crazy Heart,2009,Scott Cooper,28,Jeff Bridges,man,1949-12-04,60,Maggie Gyllenhaal,woman,1977-11-16,32
Seabiscuit,2003,Gary Ross,25,Jeff Bridges,man,1949-12-04,54,Elizabeth Banks,woman,1974-02-10,29
The Big Lebowski,1998,Joel Coen,11,Jeff Bridges,man,1949-12-04,49,Julianne Moore,woman,1960-12-03,38
The Fabulous Baker Boys,1989,Steve Kloves,9,Jeff Bridges,man,1949-12-04,40,Michelle Pfeiffer,woman,1958-04-29,31
Wild Target,2010,Jonathan Lynn,34,Bill Nighy,man,1949-12-12,61,Emily Blunt,woman,1983-02-23,27
The Cooler,2003,Wayne Kramer,17,William H. Macy,man,1950-03-13,53,Maria Bello,woman,1967-04-18,36
Boogie Nights,1997,Paul Thomas Anderson,9,William H. Macy,man,1950-03-13,47,Nina Hartley,woman,1959-03-11,38
Lost in Translation,2003,Sofia Coppola,34,Bill Murray,man,1950-09-21,53,Scarlett Johansson,woman,1984-11-22,19
The Royal Tenenbaums,2001,Wes Anderson,22,Bill Murray,man,1950-09-21,51,Gwyneth Paltrow,woman,1972-09-27,29
Rushmore,1998,Wes Anderson,18,Bill Murray,man,1950-09-21,48,Olivia Williams,woman,1968-07-26,30
St. Vincent,2014,Theodore Melfi,18,Bill Murray,man,1950-09-21,64,Naomi Watts,woman,1968-09-28,46
Groundhog Day,1993,Harold Ramis,8,Bill Murray,man,1950-09-21,43,Andie MacDowell,woman,1958-04-21,35
Cleaner,2007,Renny Harlin,24,Ed Harris,man,1950-11-28,57,Eva Mendes,woman,1974-03-05,33
Virginia,2010,Dustin Lance Black,20,Ed Harris,man,1950-11-28,60,Jennifer Connelly,woman,1970-12-12,40
Stepmom,1998,Chris Columbus,17,Ed Harris,man,1950-11-28,48,Julia Roberts,woman,1967-10-28,31
3000 Miles to Graceland,2001,Demian Lichtenstein,13,Kurt Russell,man,1951-03-17,50,Courteney Cox,woman,1964-06-15,37
World's Greatest Dad,2009,Bobcat Goldthwait,25,Robin Williams,man,1951-07-21,58,Alexie Gilmore,woman,1976-01-01,33
Patch Adams,1998,Tom Shadyac,20,Robin Williams,man,1951-07-21,47,Monica Potter,woman,1971-06-30,27
Mrs. Doubtfire,1993,Chris Columbus,5,Robin Williams,man,1951-07-21,42,Sally Field,woman,1946-11-06,47
My Life,1993,Bruce Joel Rubin,16,Michael Keaton,man,1951-09-05,42,Nicole Kidman,woman,1967-06-20,26
Hollywood Ending,2002,Woody Allen,15,Treat Williams,man,1951-12-01,51,Tea Leoni,woman,1966-02-25,36
